

















"[0.9521800875663757, 0.8358954191207886, 4.3714086928048346e-07]","[0.8383280038833618, 0.9094906449317932, -0.0630178228020668]","[0.7035466432571411, 0.8653924465179443, -0.09604218602180481]","[0.6288644075393677, 0.7573920488357544, -0.12250278890132904]","[0.5939071774482727, 0.645043134689331, -0.14793969690799713]","[0.6516839861869812, 0.6366743445396423, -0.06637363135814667]","[0.5206771492958069, 0.5572324991226196, -0.11860697716474533]","[0.43247395753860474, 0.5093464255332947, -0.15865468978881836]","[0.35819682478904724, 0.469072550535202, -0.18881487846374512]","[0.701328456401825, 0.5475433468818665, -0.07236788421869278]","[0.5695874094963074, 0.434988409280777, -0.12225493788719177]","[0.47615325450897217, 0.36183351278305054, -0.16254478693008423]","[0.39713627099990845, 0.30456143617630005, -0.19032040238380432]","[0.7765961289405823, 0.4969029724597931, -0.08682022243738174]","[0.6569989919662476, 0.36523258686065674, -0.1433388739824295]","[0.5687726140022278, 0.28429538011550903, -0.18327286839485168]","[0.488208532333374, 0.21337196230888367, -0.20919300615787506]","[0.8707219362258911, 0.46960872411727905, -0.10571058094501495]","[0.8105098605155945, 0.3378554582595825, -0.16187462210655212]","[0.7574492692947388, 0.2610679268836975, -0.19200174510478973]","[0.7003726363182068, 0.19703668355941772, -0.21099495887756348]"
"[0.9678636789321899, 0.8599615097045898, 4.8993314294421e-07]","[0.8408686518669128, 0.9042049050331116, -0.05134200677275658]","[0.7147859334945679, 0.8457125425338745, -0.08150764554738998]","[0.6437157392501831, 0.7392609119415283, -0.10848932713270187]","[0.5982831120491028, 0.626878559589386, -0.13518185913562775]","[0.6532745361328125, 0.6246684789657593, -0.046695806086063385]","[0.5236222743988037, 0.5468793511390686, -0.09618471562862396]","[0.43658649921417236, 0.5039970278739929, -0.13672766089439392]","[0.3609973192214966, 0.4646647274494171, -0.16717220842838287]","[0.7016634941101074, 0.5377000570297241, -0.05892918258905411]","[0.5698546171188354, 0.4205408990383148, -0.10551483929157257]","[0.4768067002296448, 0.3541525602340698, -0.1479680985212326]","[0.3953079879283905, 0.2997477352619171, -0.1780402809381485]","[0.7736959457397461, 0.4865562617778778, -0.07893049716949463]","[0.6535664796829224, 0.35607415437698364, -0.13010993599891663]","[0.5674638748168945, 0.27918344736099243, -0.16879969835281372]","[0.4873441457748413, 0.21330666542053223, -0.19491110742092133]","[0.863871157169342, 0.4586617350578308, -0.10277701169252396]","[0.7982007265090942, 0.32689446210861206, -0.1502317190170288]","[0.7447855472564697, 0.2486036717891693, -0.17517194151878357]","[0.6886979937553406, 0.1842065155506134, -0.19155459105968475]"
"[0.9815319776535034, 0.8578064441680908, 3.555212515493622e-07]","[0.8542354106903076, 0.8860914707183838, -0.042449165135622025]","[0.7317354679107666, 0.8209705352783203, -0.06679440289735794]","[0.6659179925918579, 0.7182868719100952, -0.0905398279428482]","[0.6194230318069458, 0.6116862297058105, -0.1131487488746643]","[0.6594700217247009, 0.5981233716011047, -0.024288538843393326]","[0.5308324694633484, 0.5236526727676392, -0.065627820789814]","[0.4464651048183441, 0.48237666487693787, -0.10228990763425827]","[0.37470299005508423, 0.4415397644042969, -0.1303400695323944]","[0.706291913986206, 0.5183946490287781, -0.03855115920305252]","[0.5752904415130615, 0.40439271926879883, -0.07723844051361084]","[0.4855745732784271, 0.3403356075286865, -0.11567904055118561]","[0.40779250860214233, 0.2836918234825134, -0.14281050860881805]","[0.7773333787918091, 0.47182488441467285, -0.060646459460258484]","[0.6572123765945435, 0.3395482301712036, -0.10428088158369064]","[0.5740611553192139, 0.2650873064994812, -0.13799923658370972]","[0.49632447957992554, 0.19939908385276794, -0.16090978682041168]","[0.8687098026275635, 0.4470929801464081, -0.08656030148267746]","[0.8039112687110901, 0.3203193247318268, -0.12618693709373474]","[0.7506863474845886, 0.246027410030365, -0.14557312428951263]","[0.6954081058502197, 0.18430793285369873, -0.15812969207763672]"
"[0.9972221851348877, 0.8432746529579163, 2.7990157036583696e-07]","[0.8708362579345703, 0.8719602823257446, -0.038856133818626404]","[0.7458972334861755, 0.8027260899543762, -0.05669829994440079]","[0.6833404302597046, 0.6905585527420044, -0.07468611747026443]","[0.6370174884796143, 0.5879336595535278, -0.09087637066841125]","[0.6710671186447144, 0.5792595148086548, -0.011749406345188618]","[0.5438318252563477, 0.5051044225692749, -0.04606401547789574]","[0.45995625853538513, 0.45858824253082275, -0.07895436137914658]","[0.3901539444923401, 0.41326141357421875, -0.10499350726604462]","[0.7165465354919434, 0.49857237935066223, -0.025117740035057068]","[0.5919123291969299, 0.38614383339881897, -0.05646268650889397]","[0.5083673000335693, 0.32013165950775146, -0.08979644626379013]","[0.43953752517700195, 0.26005759835243225, -0.11384021490812302]","[0.7854626178741455, 0.45015114545822144, -0.04673972353339195]","[0.6724991798400879, 0.3245396614074707, -0.08263485133647919]","[0.5919884443283081, 0.251253604888916, -0.11175897717475891]","[0.5202274322509766, 0.18498536944389343, -0.1325289011001587]","[0.8758609294891357, 0.4231497049331665, -0.07289508730173111]","[0.8149161338806152, 0.3002210855484009, -0.1053568571805954]","[0.7626979947090149, 0.22649472951889038, -0.12129170447587967]","[0.7104937434196472, 0.16203615069389343, -0.13221466541290283]"
"[1.0145761966705322, 0.8360530138015747, 2.7247671141594765e-07]","[0.8863141536712646, 0.8619860410690308, -0.04122044891119003]","[0.7588444352149963, 0.7935545444488525, -0.059604112058877945]","[0.6917019486427307, 0.6814178824424744, -0.07773339003324509]","[0.6471999287605286, 0.5711681842803955, -0.09356724470853806]","[0.6945849061012268, 0.5658109188079834, -0.011610366404056549]","[0.5683852434158325, 0.4900283217430115, -0.04610145464539528]","[0.48405858874320984, 0.44437164068222046, -0.07906921207904816]","[0.4134129285812378, 0.3990156352519989, -0.10557900369167328]","[0.7403122186660767, 0.48685866594314575, -0.0235921498388052]","[0.6171984076499939, 0.37393611669540405, -0.055147238075733185]","[0.5348659157752991, 0.3099181652069092, -0.08757166564464569]","[0.46660682559013367, 0.25136205554008484, -0.11080662906169891]","[0.8095074892044067, 0.4401300549507141, -0.04425681009888649]","[0.6971819996833801, 0.3103094696998596, -0.08221273124217987]","[0.621279239654541, 0.2349383533000946, -0.10978671163320541]","[0.5524703860282898, 0.16526901721954346, -0.1287786364555359]","[0.9012890458106995, 0.4138564169406891, -0.06960222125053406]","[0.844998300075531, 0.28552284836769104, -0.10503695160150528]","[0.7954360842704773, 0.21000906825065613, -0.12080875039100647]","[0.7446749210357666, 0.14491817355155945, -0.13091795146465302]"
"[1.0376956462860107, 0.8280705809593201, 2.7530128932085063e-07]","[0.9099743962287903, 0.850507378578186, -0.042656682431697845]","[0.7819552421569824, 0.790956974029541, -0.06220747530460358]","[0.7102481722831726, 0.6841406226158142, -0.08114553242921829]","[0.661987841129303, 0.5727682709693909, -0.09760265797376633]","[0.7180915474891663, 0.5621511340141296, -0.011742064729332924]","[0.5935521721839905, 0.4838855564594269, -0.04545920342206955]","[0.5102895498275757, 0.43850380182266235, -0.07803715765476227]","[0.4406973719596863, 0.3953912854194641, -0.10413538664579391]","[0.7655950784683228, 0.4813409745693207, -0.022567106410861015]","[0.6441732048988342, 0.3630470037460327, -0.05290984362363815]","[0.5633202791213989, 0.3003959655761719, -0.08556977659463882]","[0.49553319811820984, 0.246302992105484, -0.1093975082039833]","[0.8356574773788452, 0.434177964925766, -0.04221130162477493]","[0.7247121334075928, 0.29612815380096436, -0.07923451066017151]","[0.6486694812774658, 0.2231195569038391, -0.10823163390159607]","[0.5788413882255554, 0.15793359279632568, -0.12856550514698029]","[0.9271281361579895, 0.4091516137123108, -0.06640318036079407]","[0.8736194372177124, 0.2757556438446045, -0.1015716940164566]","[0.8249998688697815, 0.19592198729515076, -0.11928645521402359]","[0.7750712633132935, 0.1260661482810974, -0.1310168206691742]"
"[1.0649734735488892, 0.8248597383499146, 3.062348525872949e-07]","[0.9332253336906433, 0.8522549867630005, -0.04120898246765137]","[0.800333559513092, 0.7925494313240051, -0.06007140502333641]","[0.7255197167396545, 0.6852895617485046, -0.07840695232152939]","[0.6693599224090576, 0.5816813111305237, -0.09489834308624268]","[0.7503108382225037, 0.5601511597633362, -0.014693540520966053]","[0.6234557628631592, 0.48082008957862854, -0.05137063190340996]","[0.5411481857299805, 0.4318959712982178, -0.08576797693967819]","[0.4725111424922943, 0.385437935590744, -0.11293501406908035]","[0.7972394227981567, 0.4790188670158386, -0.02683291584253311]","[0.673774242401123, 0.355530321598053, -0.05944765359163284]","[0.5944610834121704, 0.28613924980163574, -0.09336205571889877]","[0.5291305780410767, 0.2260279357433319, -0.11816693842411041]","[0.8669719099998474, 0.43107515573501587, -0.047624778002500534]","[0.756250262260437, 0.28888237476348877, -0.08621708303689957]","[0.6787383556365967, 0.20976251363754272, -0.11611752957105637]","[0.6083469986915588, 0.14087066054344177, -0.13734625279903412]","[0.960322380065918, 0.4052409827709198, -0.072734534740448]","[0.908308744430542, 0.2728632390499115, -0.10910964012145996]","[0.861355721950531, 0.19191911816596985, -0.12706194818019867]","[0.8118664622306824, 0.12207207083702087, -0.13922366499900818]"
"[1.0871801376342773, 0.819597601890564, 3.671272565952677e-07]","[0.9555994868278503, 0.8482720851898193, -0.043350521475076675]","[0.8240064382553101, 0.7925229072570801, -0.06454736739397049]","[0.745992124080658, 0.6888961791992188, -0.08416251093149185]","[0.6841129660606384, 0.5882251858711243, -0.1021515429019928]","[0.7707970142364502, 0.5609486103057861, -0.021397050470113754]","[0.6436730623245239, 0.4760688245296478, -0.057080209255218506]","[0.5631299614906311, 0.42419737577438354, -0.0908544510602951]","[0.4958868622779846, 0.3740198314189911, -0.1177574023604393]","[0.8220032453536987, 0.4781670570373535, -0.03242817521095276]","[0.7027958631515503, 0.3474299907684326, -0.0623927116394043]","[0.6293894052505493, 0.27463269233703613, -0.095768041908741]","[0.5699124932289124, 0.21330669522285461, -0.12142404168844223]","[0.8935776948928833, 0.43109869956970215, -0.05167131498456001]","[0.7882460355758667, 0.28328263759613037, -0.08785199373960495]","[0.7151607275009155, 0.19810420274734497, -0.11887127161026001]","[0.6494678854942322, 0.1261710822582245, -0.14235354959964752]","[0.987062931060791, 0.408639132976532, -0.07503977417945862]","[0.9415132999420166, 0.2771809697151184, -0.11110406368970871]","[0.9008280634880066, 0.19372707605361938, -0.12982618808746338]","[0.8586305975914001, 0.12124410271644592, -0.14312376081943512]"
"[1.0997700691223145, 0.8215134143829346, 3.9242630123226263e-07]","[0.974546492099762, 0.8519308567047119, -0.04113854095339775]","[0.8433265686035156, 0.7950509190559387, -0.0602896548807621]","[0.7641422152519226, 0.6938703060150146, -0.07828276604413986]","[0.7052995562553406, 0.597743570804596, -0.09498833864927292]","[0.7918957471847534, 0.5656027793884277, -0.021504059433937073]","[0.6652658581733704, 0.4803088903427124, -0.055405594408512115]","[0.5847130417823792, 0.4268476068973541, -0.08690553903579712]","[0.5175341367721558, 0.3762938976287842, -0.11244318634271622]","[0.8404780626296997, 0.4823884665966034, -0.03225675970315933]","[0.7251019477844238, 0.35333678126335144, -0.06245981901884079]","[0.6512131094932556, 0.27652111649513245, -0.0959368646144867]","[0.5891067981719971, 0.21299102902412415, -0.12158112972974777]","[0.9080531001091003, 0.4343383312225342, -0.05077269300818443]","[0.8066267371177673, 0.28877967596054077, -0.08833520859479904]","[0.7358219027519226, 0.19940975308418274, -0.12265444546937943]","[0.6699125170707703, 0.12646350264549255, -0.14825588464736938]","[0.9947192668914795, 0.41234588623046875, -0.07299721240997314]","[0.9613800644874573, 0.2812322974205017, -0.11162806302309036]","[0.925514817237854, 0.19435599446296692, -0.1351408064365387]","[0.8862836360931396, 0.12053623795509338, -0.15184812247753143]"
"[1.1103163957595825, 0.8206238150596619, 4.903332637695712e-07]","[0.9907639026641846, 0.8548191785812378, -0.05023488029837608]","[0.8567804098129272, 0.808897078037262, -0.0747140496969223]","[0.771492600440979, 0.7155189514160156, -0.0959315225481987]","[0.7077329158782959, 0.6197457313537598, -0.11508873105049133]","[0.8088530898094177, 0.5710766911506653, -0.033962782472372055]","[0.6839665770530701, 0.4831904172897339, -0.07136858999729156]","[0.6051750183105469, 0.42784956097602844, -0.10450246930122375]","[0.5404524803161621, 0.3737372159957886, -0.13075441122055054]","[0.8583332300186157, 0.48513370752334595, -0.04063368961215019]","[0.7471908926963806, 0.3525528311729431, -0.07277101278305054]","[0.6773695349693298, 0.272342324256897, -0.10626854002475739]","[0.6196756362915039, 0.20247986912727356, -0.13210320472717285]","[0.9268979430198669, 0.43544864654541016, -0.05552592873573303]","[0.8318163156509399, 0.2896016836166382, -0.09428787976503372]","[0.7652565836906433, 0.1993696093559265, -0.1272534728050232]","[0.7030827403068542, 0.1228819489479065, -0.15198872983455658]","[1.0142371654510498, 0.4121580719947815, -0.07484029233455658]","[0.9858619570732117, 0.28108078241348267, -0.11373190581798553]","[0.9543644189834595, 0.19171103835105896, -0.13684579730033875]","[0.9185179471969604, 0.11259892582893372, -0.15336973965168]"
