



















"[0.22012275457382202, 1.1268337965011597, 1.5318495343308314e-06]","[0.3563116490840912, 1.098616600036621, -0.0784868374466896]","[0.46432211995124817, 1.0219252109527588, -0.14952655136585236]","[0.5569146871566772, 0.9472362995147705, -0.2114238142967224]","[0.6539270877838135, 0.8737862706184387, -0.2830570638179779]","[0.4041552245616913, 0.8263929486274719, -0.20625530183315277]","[0.47946488857269287, 0.6649428009986877, -0.30876001715660095]","[0.5426294803619385, 0.5672076344490051, -0.37640175223350525]","[0.6133959889411926, 0.4996299147605896, -0.42393574118614197]","[0.3111627995967865, 0.8000434041023254, -0.22192373871803284]","[0.33846747875213623, 0.6239655017852783, -0.33025872707366943]","[0.39223310351371765, 0.5077670216560364, -0.4083159863948822]","[0.4545779824256897, 0.41992002725601196, -0.46673351526260376]","[0.21708065271377563, 0.8315519094467163, -0.2374982386827469]","[0.21592794358730316, 0.6624076962471008, -0.34306034445762634]","[0.2466074824333191, 0.5510093569755554, -0.4188987612724304]","[0.28999999165534973, 0.4697498381137848, -0.47286611795425415]","[0.136026069521904, 0.9045051336288452, -0.2532237768173218]","[0.08102983236312866, 0.8064363598823547, -0.35282623767852783]","[0.07591381669044495, 0.7469325661659241, -0.41175124049186707]","[0.08683246374130249, 0.6998828649520874, -0.4536876678466797]"
"[0.26989689469337463, 1.1272342205047607, 1.5501822190344683e-06]","[0.40166154503822327, 1.0754231214523315, -0.06500165909528732]","[0.5085674524307251, 0.9795536398887634, -0.11569677293300629]","[0.6015398502349854, 0.9021488428115845, -0.1627947837114334]","[0.6997705101966858, 0.8269193768501282, -0.2156309187412262]","[0.44807031750679016, 0.7488300800323486, -0.11819861829280853]","[0.5354491472244263, 0.5926920175552368, -0.19933782517910004]","[0.6004765033721924, 0.5025327205657959, -0.2544940710067749]","[0.6724430918693542, 0.43823403120040894, -0.2913036644458771]","[0.3618961274623871, 0.7214472889900208, -0.1343286633491516]","[0.39726051688194275, 0.5337163209915161, -0.21006736159324646]","[0.4557526111602783, 0.4228334426879883, -0.26423323154449463]","[0.5294405817985535, 0.340800404548645, -0.3025481700897217]","[0.2716502547264099, 0.7567625045776367, -0.1567334234714508]","[0.27595213055610657, 0.5678501129150391, -0.23710012435913086]","[0.3154255449771881, 0.45530495047569275, -0.29035884141921997]","[0.38143062591552734, 0.3713124692440033, -0.32538387179374695]","[0.18713876605033875, 0.8389453291893005, -0.1820526421070099]","[0.13470670580863953, 0.706459641456604, -0.2640434205532074]","[0.14029881358146667, 0.6271010637283325, -0.3077435791492462]","[0.17506375908851624, 0.5661564469337463, -0.3344000279903412]"
"[0.32663896679878235, 1.0573316812515259, 1.955620518856449e-06]","[0.47731292247772217, 0.9682456851005554, -0.05728139728307724]","[0.5784921050071716, 0.8529399633407593, -0.10326915979385376]","[0.6698413491249084, 0.7589028477668762, -0.15218135714530945]","[0.7692512273788452, 0.6702049374580383, -0.20668856799602509]","[0.5153219103813171, 0.6157642602920532, -0.06545400619506836]","[0.6038943529129028, 0.4673781394958496, -0.14488811790943146]","[0.6770378947257996, 0.37130168080329895, -0.21075089275836945]","[0.7523481845855713, 0.2938827574253082, -0.2580277919769287]","[0.4343941807746887, 0.5849305987358093, -0.09176419675350189]","[0.4789225161075592, 0.38778015971183777, -0.170590341091156]","[0.5378786325454712, 0.264024019241333, -0.2438233494758606]","[0.6049338579177856, 0.16067785024642944, -0.2974550127983093]","[0.3476310074329376, 0.605624258518219, -0.1273593008518219]","[0.3694222867488861, 0.4137169420719147, -0.21199892461299896]","[0.42024582624435425, 0.28678423166275024, -0.27864354848861694]","[0.4830608665943146, 0.18002986907958984, -0.3230149447917938]","[0.2586857080459595, 0.666317343711853, -0.16628308594226837]","[0.23538738489151, 0.5148255825042725, -0.24518588185310364]","[0.2536815106868744, 0.4143701493740082, -0.2908949851989746]","[0.2943398356437683, 0.32148733735084534, -0.32223713397979736]"
"[0.34183430671691895, 1.02202308177948, 1.7270319858653238e-06]","[0.4815240502357483, 0.95612633228302, -0.0769992247223854]","[0.593817949295044, 0.842448353767395, -0.12902367115020752]","[0.6809504628181458, 0.7457515001296997, -0.17762693762779236]","[0.7791582345962524, 0.6590389013290405, -0.23062071204185486]","[0.525679886341095, 0.6053977608680725, -0.09813612699508667]","[0.62282395362854, 0.45260095596313477, -0.18133099377155304]","[0.6979309320449829, 0.3539981245994568, -0.24587231874465942]","[0.7730901837348938, 0.2746593952178955, -0.29085907340049744]","[0.44411787390708923, 0.5714383125305176, -0.11223991215229034]","[0.5025719404220581, 0.36661773920059204, -0.18975761532783508]","[0.5692276954650879, 0.23475006222724915, -0.2540607154369354]","[0.6396118402481079, 0.12066978216171265, -0.3014479875564575]","[0.3555138409137726, 0.5913639068603516, -0.13650210201740265]","[0.38747501373291016, 0.39104512333869934, -0.21673449873924255]","[0.4403618574142456, 0.25766706466674805, -0.27564364671707153]","[0.5058368444442749, 0.14030706882476807, -0.31568753719329834]","[0.2644198536872864, 0.6494154930114746, -0.16603657603263855]","[0.24655556678771973, 0.49559906125068665, -0.24042470753192902]","[0.2647784948348999, 0.3907683789730072, -0.28285250067710876]","[0.30275508761405945, 0.2878136932849884, -0.3128972053527832]"
"[0.3436008393764496, 1.0163236856460571, 1.6846945527504431e-06]","[0.484096497297287, 0.9554377794265747, -0.07870083302259445]","[0.5942609310150146, 0.8429872393608093, -0.13098259270191193]","[0.6844081282615662, 0.7456497550010681, -0.17937396466732025]","[0.7849633097648621, 0.6598407030105591, -0.2317960113286972]","[0.5284689664840698, 0.6006768941879272, -0.10042303800582886]","[0.6312133073806763, 0.4452531039714813, -0.18363310396671295]","[0.7058138847351074, 0.34680938720703125, -0.24815069139003754]","[0.7797940373420715, 0.26623302698135376, -0.2936275005340576]","[0.4473360776901245, 0.5657475590705872, -0.11371808499097824]","[0.5081951022148132, 0.35883787274360657, -0.1912589818239212]","[0.5747253894805908, 0.2265779972076416, -0.25571566820144653]","[0.6445789337158203, 0.11160600185394287, -0.3037739396095276]","[0.3581545948982239, 0.585669219493866, -0.13734807074069977]","[0.391712486743927, 0.38317355513572693, -0.21776139736175537]","[0.4455989599227905, 0.24957606196403503, -0.27834242582321167]","[0.509972333908081, 0.13250702619552612, -0.3200782239437103]","[0.26793450117111206, 0.6432069540023804, -0.1662757694721222]","[0.2521630525588989, 0.4897933006286621, -0.24267320334911346]","[0.265168696641922, 0.38177454471588135, -0.2879054546356201]","[0.29516807198524475, 0.27334272861480713, -0.3202003836631775]"
"[0.3357964754104614, 1.0220617055892944, 1.5752582385175629e-06]","[0.47432780265808105, 0.9615883827209473, -0.07194990664720535]","[0.5884062051773071, 0.8428270816802979, -0.11883101612329483]","[0.6809417009353638, 0.7377629280090332, -0.1621083766222]","[0.7784741520881653, 0.6515388488769531, -0.20870110392570496]","[0.5249134302139282, 0.5996317267417908, -0.09400098770856857]","[0.6264916062355042, 0.44051921367645264, -0.17279496788978577]","[0.7003206014633179, 0.339433491230011, -0.23204724490642548]","[0.7722586393356323, 0.25823912024497986, -0.27329111099243164]","[0.4430694580078125, 0.5604082345962524, -0.10712109506130219]","[0.5028329491615295, 0.35578620433807373, -0.1803400069475174]","[0.5696386694908142, 0.2208257019519806, -0.23746809363365173]","[0.6384881734848022, 0.10663449764251709, -0.27925774455070496]","[0.35435470938682556, 0.5786750912666321, -0.1298304796218872]","[0.38945287466049194, 0.374349445104599, -0.20691943168640137]","[0.44370684027671814, 0.23984795808792114, -0.26071232557296753]","[0.5074042677879333, 0.12290424108505249, -0.29676946997642517]","[0.265036016702652, 0.6377953886985779, -0.1572873890399933]","[0.2464579939842224, 0.48273223638534546, -0.23221082985401154]","[0.2588806748390198, 0.37380316853523254, -0.2740527391433716]","[0.28925105929374695, 0.26628798246383667, -0.3021664619445801]"
"[0.33735328912734985, 1.0202580690383911, 1.5671299706809805e-06]","[0.47005704045295715, 0.9541604518890381, -0.06857448816299438]","[0.5844486951828003, 0.8313194513320923, -0.11355441808700562]","[0.6786501407623291, 0.7235936522483826, -0.154987633228302]","[0.7750715017318726, 0.6371917128562927, -0.19890578091144562]","[0.5162366032600403, 0.5934827923774719, -0.09149818122386932]","[0.6178402900695801, 0.42959943413734436, -0.16766448318958282]","[0.6915241479873657, 0.3263709843158722, -0.2230241447687149]","[0.7620296478271484, 0.244226336479187, -0.26037541031837463]","[0.43364718556404114, 0.5547314882278442, -0.10376176983118057]","[0.4920186698436737, 0.34756022691726685, -0.17371636629104614]","[0.5595620274543762, 0.2103559672832489, -0.22437869012355804]","[0.6272935271263123, 0.0946168303489685, -0.2603606581687927]","[0.3454877734184265, 0.5745142698287964, -0.12517650425434113]","[0.37755587697029114, 0.36919066309928894, -0.19773051142692566]","[0.4325406551361084, 0.23337149620056152, -0.24358612298965454]","[0.4961537718772888, 0.11478453874588013, -0.27316051721572876]","[0.25688162446022034, 0.6356859803199768, -0.15132218599319458]","[0.23667189478874207, 0.4803085923194885, -0.22134853899478912]","[0.24794846773147583, 0.36756467819213867, -0.25725921988487244]","[0.2755037546157837, 0.2573796808719635, -0.2799259126186371]"
"[0.32991376519203186, 1.0052542686462402, 1.7091902009269688e-06]","[0.4739916920661926, 0.9481362104415894, -0.08504350483417511]","[0.5868526101112366, 0.8269855976104736, -0.1401849389076233]","[0.6735268831253052, 0.7200002074241638, -0.1893213391304016]","[0.7720497846603394, 0.6282190084457397, -0.24262773990631104]","[0.5144206285476685, 0.5790660977363586, -0.1197427362203598]","[0.6119872331619263, 0.4138403534889221, -0.20391541719436646]","[0.68461674451828, 0.3052305579185486, -0.26669979095458984]","[0.7536612153053284, 0.21666505932807922, -0.31104692816734314]","[0.4262833297252655, 0.5442860126495361, -0.1298443078994751]","[0.47680461406707764, 0.32958945631980896, -0.20982716977596283]","[0.5409069657325745, 0.1860925257205963, -0.27318108081817627]","[0.6062931418418884, 0.0654173493385315, -0.3202759027481079]","[0.3340878486633301, 0.568252444267273, -0.14939799904823303]","[0.36207589507102966, 0.3583243489265442, -0.2330889105796814]","[0.41332370042800903, 0.21747803688049316, -0.2944876253604889]","[0.4733104109764099, 0.09477370977401733, -0.3364412784576416]","[0.24563410878181458, 0.6314396262168884, -0.1741134226322174]","[0.22114668786525726, 0.47425734996795654, -0.2546905279159546]","[0.22806939482688904, 0.3629266619682312, -0.3023552894592285]","[0.25209617614746094, 0.2531866133213043, -0.3357362151145935]"
"[0.3462337851524353, 1.0175591707229614, 1.61249727170798e-06]","[0.48105913400650024, 0.9578501582145691, -0.08224767446517944]","[0.591670036315918, 0.835263729095459, -0.13487061858177185]","[0.6830093860626221, 0.7235441207885742, -0.1819770187139511]","[0.7855334877967834, 0.6328034400939941, -0.23162385821342468]","[0.5223349928855896, 0.5835696458816528, -0.10217493027448654]","[0.6178644895553589, 0.42004409432411194, -0.18467910587787628]","[0.6906764507293701, 0.3146480321884155, -0.2465738207101822]","[0.7609608173370361, 0.22723010182380676, -0.2891934812068939]","[0.4373142719268799, 0.5451615452766418, -0.11167248338460922]","[0.4857889711856842, 0.3334859311580658, -0.1879141628742218]","[0.5477786660194397, 0.1918860375881195, -0.2458258420228958]","[0.6106119751930237, 0.0667693018913269, -0.2873174250125885]","[0.34669029712677, 0.5685742497444153, -0.13145191967487335]","[0.3710649013519287, 0.3617215156555176, -0.2100336253643036]","[0.4206847548484802, 0.21946904063224792, -0.26132041215896606]","[0.480162650346756, 0.09209698438644409, -0.2946387529373169]","[0.25598591566085815, 0.6351021528244019, -0.15707670152187347]","[0.229342520236969, 0.47844457626342773, -0.2304943948984146]","[0.23571333289146423, 0.3626185655593872, -0.26863032579421997]","[0.2587723731994629, 0.2462064027786255, -0.2935429513454437]"
"[0.3506596088409424, 1.0288925170898438, 1.5709457557022688e-06]","[0.4851072132587433, 0.9629332423210144, -0.0733947679400444]","[0.5997585654258728, 0.8418979644775391, -0.12054360657930374]","[0.6927659511566162, 0.7297552824020386, -0.16347186267375946]","[0.794417679309845, 0.6444185972213745, -0.20859792828559875]","[0.5320056676864624, 0.5900747776031494, -0.0858505442738533]","[0.6312844157218933, 0.42796558141708374, -0.16291947662830353]","[0.7070873975753784, 0.32703545689582825, -0.2218310385942459]","[0.7800080180168152, 0.24196010828018188, -0.26162049174308777]","[0.44971349835395813, 0.5488868355751038, -0.09631174802780151]","[0.5054070353507996, 0.3417709469795227, -0.16493263840675354]","[0.5709913372993469, 0.20414546132087708, -0.21689023077487946]","[0.6343091726303101, 0.0793498158454895, -0.2533477246761322]","[0.36160051822662354, 0.5690088868141174, -0.11692406237125397]","[0.3904332220554352, 0.3614825904369354, -0.18827563524246216]","[0.4411567151546478, 0.21791255474090576, -0.23322556912899017]","[0.5005327463150024, 0.0874488353729248, -0.26157769560813904]","[0.2701839208602905, 0.6318151950836182, -0.14306986331939697]","[0.24651633203029633, 0.47377753257751465, -0.20945584774017334]","[0.2546427249908447, 0.3565681278705597, -0.24129386246204376]","[0.27845829725265503, 0.23854511976242065, -0.26086896657943726]"
